grid_id,latitude,longitude
0_68,53.362391,-6.384964
0_69,53.363289,-6.384909
0_70,53.364187,-6.384854
0_71,53.365084,-6.384799
0_72,53.365982,-6.384744
0_73,53.36688,-6.384689
0_74,53.367778,-6.384634
0_75,53.368676,-6.384579
0_76,53.369574,-6.384524
0_77,53.370472,-6.384469
0_78,53.37137,-6.384414
0_79,53.372268,-6.384359
0_80,53.373166,-6.384304
0_81,53.374064,-6.384249
0_82,53.374962,-6.384194
0_83,53.37586,-6.384139
0_84,53.376758,-6.384084
0_85,53.377656,-6.384028
0_86,53.378554,-6.383973
0_87,53.379452,-6.383918
0_88,53.38035,-6.383863
0_89,53.381248,-6.383808
0_90,53.382145,-6.383753
0_91,53.383043,-6.383698
0_92,53.383941,-6.383643
0_93,53.384839,-6.383588
0_94,53.385737,-6.383533
0_95,53.386635,-6.383478
0_96,53.387533,-6.383423
0_97,53.388431,-6.383367
0_98,53.389329,-6.383312
0_99,53.390227,-6.383257
0_100,53.391125,-6.383202
0_101,53.392023,-6.383147
0_102,53.392921,-6.383092
0_103,53.393819,-6.383037
0_104,53.394717,-6.382982
0_105,53.395615,-6.382927
0_106,53.396513,-6.382871
0_107,53.397411,-6.382816
0_108,53.398309,-6.382761
0_109,53.399206,-6.382706
0_110,53.400104,-6.382651
0_111,53.401002,-6.382596
0_112,53.4019,-6.382541
0_113,53.402798,-6.382485
0_114,53.403696,-6.38243
0_115,53.404594,-6.382375
0_116,53.405492,-6.38232
0_117,53.40639,-6.382265
0_118,53.407288,-6.38221
0_119,53.408186,-6.382155
0_120,53.409084,-6.382099
0_121,53.409982,-6.382044
0_122,53.41088,-6.381989
0_123,53.411778,-6.381934
0_124,53.412676,-6.381879
0_125,53.413574,-6.381823
0_126,53.414471,-6.381768
1_0,53.301297,-6.387199
1_1,53.302195,-6.387144
1_2,53.303093,-6.38709
1_3,53.303991,-6.387035
1_4,53.304889,-6.38698
1_5,53.305786,-6.386925
1_6,53.306684,-6.38687
1_7,53.307582,-6.386815
1_8,53.30848,-6.38676
1_9,53.309378,-6.386706
1_10,53.310276,-6.386651
1_11,53.311174,-6.386596
1_12,53.312072,-6.386541
1_13,53.31297,-6.386486
1_14,53.313868,-6.386431
1_15,53.314766,-6.386376
1_16,53.315664,-6.386321
1_17,53.316562,-6.386267
1_18,53.31746,-6.386212
1_19,53.318358,-6.386157
1_20,53.319256,-6.386102
1_21,53.320154,-6.386047
1_22,53.321052,-6.385992
1_23,53.32195,-6.385937
1_24,53.322848,-6.385882
1_25,53.323746,-6.385827
1_26,53.324644,-6.385772
1_27,53.325542,-6.385717
1_28,53.32644,-6.385662
1_29,53.327337,-6.385608
1_30,53.328235,-6.385553
1_31,53.329133,-6.385498
1_32,53.330031,-6.385443
1_33,53.330929,-6.385388
1_34,53.331827,-6.385333
1_35,53.332725,-6.385278
1_36,53.333623,-6.385223
1_37,53.334521,-6.385168
1_38,53.335419,-6.385113
1_39,53.336317,-6.385058
1_40,53.337215,-6.385003
1_41,53.338113,-6.384948
1_42,53.339011,-6.384893
1_43,53.339909,-6.384838
1_44,53.340807,-6.384783
1_45,53.341705,-6.384728
1_46,53.342603,-6.384673
1_47,53.343501,-6.384618
1_48,53.344399,-6.384563
